Acres,Zone,Land Use Code,# of Units
0.12,B1 - Neighborhood Office,013,3
0.08,B1 - Neighborhood Office,105,3
0.12,B1 - Neighborhood Office,101,1
0.08,B1 - Neighborhood Office,104,2
0.16,B1 - Neighborhood Office,104,2
0.17,B1 - Neighborhood Office,013,5
0.15,B1 - Neighborhood Office,013,4
0.19,B1 - Neighborhood Office,102,1
0.17,B1 - Neighborhood Office,104,4
0.10,B1 - Neighborhood Office,102,1
0.11,B1 - Neighborhood Office,111,4
0.11,B1 - Neighborhood Office,102,1
0.10,B1 - Neighborhood Office,104,2
0.10,B1 - Neighborhood Office,102,1
0.13,B1 - Neighborhood Office,105,5
0.09,B1 - Neighborhood Office,101,1
0.16,B1 - Neighborhood Office,104,2
0.12,B1 - Neighborhood Office,013,3
0.20,B1 - Neighborhood Office,102,1
0.07,B1 - Neighborhood Office,101,1
0.14,B1 - Neighborhood Office,111,5
0.22,B1 - Neighborhood Office,905,1
0.10,B1 - Neighborhood Office,013,2
0.09,B1 - Neighborhood Office,013,2
0.12,B1 - Neighborhood Office,105,3
0.13,B1 - Neighborhood Office,104,2
0.15,B1 - Neighborhood Office,101,1
0.16,B1 - Neighborhood Office,013,3
0.18,B1 - Neighborhood Office,105,3
0.12,B1 - Neighborhood Office,104,2
0.12,B1 - Neighborhood Office,105,3
0.13,B1 - Neighborhood Office,104,2
0.12,B1 - Neighborhood Office,104,2
0.14,B1 - Neighborhood Office,104,2
0.14,B1 - Neighborhood Office,013,5
0.12,B1 - Neighborhood Office,105,3
0.08,B1 - Neighborhood Office,104,2
0.11,B1 - Neighborhood Office,013,2
0.12,B1 - Neighborhood Office,111,4
0.10,B1 - Neighborhood Office,013,4
0.11,B1 - Neighborhood Office,104,2
0.33,B1 - Neighborhood Office,013,4
0.15,B1 - Neighborhood Office,111,5
0.21,B1 - Neighborhood Office,101,1
0.22,B1 - Neighborhood Office,013,1
0.60,B1 - Neighborhood Office,105,3
0.19,B1 - Neighborhood Office,104,2
0.10,B1 - Neighborhood Office,101,1
0.11,B1 - Neighborhood Office,105,3
0.14,B1 - Neighborhood Office,109,4
0.14,B1 - Neighborhood Office,102,1
0.14,B1 - Neighborhood Office,105,3
0.04,B1 - Neighborhood Office,101,1
0.64,B1 - Neighborhood Office,900,1
0.11,B1 - Neighborhood Office,104,2
0.09,B1 - Neighborhood Office,104,2
0.07,B1 - Neighborhood Office,101,1
0.07,B1 - Neighborhood Office,101,1
0.06,B1 - Neighborhood Office,105,3
0.20,B1 - Neighborhood Office,105,3
0.19,B1 - Neighborhood Office,013,4
0.13,B1 - Neighborhood Office,104,2
0.23,B2 - Neighborhood Business,905,2
0.07,B2 - Neighborhood Business,105,3
0.13,B2 - Neighborhood Business,013,3
0.06,B2 - Neighborhood Business,101,1
0.06,B2 - Neighborhood Business,111,4
0.16,B2 - Neighborhood Business,111,6
0.18,B2 - Neighborhood Business,013,7
0.11,B2 - Neighborhood Business,013,2
0.12,B2 - Neighborhood Business,111,4
0.10,B2 - Neighborhood Business,013,3
0.12,B2 - Neighborhood Business,104,2
0.16,B2 - Neighborhood Business,013,7
0.13,B2 - Neighborhood Business,111,4
0.11,B2 - Neighborhood Business,013,6
0.34,B2 - Neighborhood Business,112,12
0.03,B2A - Major Business,901,0
0.11,B2A - Major Business,104,2
3.68,B2A - Major Business,112,117
0.20,B2A - Major Business,400,1
0.89,B2A - Major Business,101,1
0.14,B3 - Village Business,104,3
0.17,B3 - Village Business,104,2
1.53,B3 - Village Business,102,1
0.11,B3 - Village Business,013,3
0.17,B3 - Village Business,102,1
0.08,B3 - Village Business,102,1
0.16,B3 - Village Business,102,1
0.11,B3 - Village Business,905,2
0.09,B3 - Village Business,104,2
0.10,B3 - Village Business,905,2
0.06,B3 - Village Business,104,2
0.07,B3 - Village Business,905,0
0.14,B3 - Village Business,013,4
1.96,B3 - Village Business,125,85
0.09,B3 - Village Business,102,1
0.08,B3 - Village Business,102,1
0.14,B3 - Village Business,102,1
0.41,B4 - Vehicular Oriented Business,109,6
0.05,B4 - Vehicular Oriented Business,104,2
0.09,B4 - Vehicular Oriented Business,104,2
0.14,B4 - Vehicular Oriented Business,105,3
0.06,B4 - Vehicular Oriented Business,104,2
0.11,B4 - Vehicular Oriented Business,013,4
0.10,B4 - Vehicular Oriented Business,105,3
0.11,B4 - Vehicular Oriented Business,105,3
0.16,B4 - Vehicular Oriented Business,404,1
0.84,B4 - Vehicular Oriented Business,102,1
0.11,B4 - Vehicular Oriented Business,101,1
0.09,B4 - Vehicular Oriented Business,104,2
0.09,B4 - Vehicular Oriented Business,105,3
0.16,B4 - Vehicular Oriented Business,424,1
0.41,B4 - Vehicular Oriented Business,905,1
0.14,B4 - Vehicular Oriented Business,104,2
0.16,B4 - Vehicular Oriented Business,105,3
0.11,B4 - Vehicular Oriented Business,102,1
0.11,B4 - Vehicular Oriented Business,102,1
0.11,B4 - Vehicular Oriented Business,102,1
0.08,B4 - Vehicular Oriented Business,102,1
0.13,B5 - Central Business,905,1
0.13,B5 - Central Business,104,2
0.13,B5 - Central Business,105,3
2.76,B5 - Central Business,112,134
1.02,I - Industrial,340,1
0.20,I - Industrial,316,1
0.35,I - Industrial,332,1
0.38,I - Industrial,400,1
0.15,I - Industrial,332,2
0.28,I - Industrial,343,1
0.23,I - Industrial,316,1
0.24,I - Industrial,316,2
0.15,I - Industrial,104,2
0.12,I - Industrial,101,1
0.15,I - Industrial,101,1
0.13,I - Industrial,101,1
0.12,I - Industrial,101,1
0.12,I - Industrial,104,2
0.11,I - Industrial,013,4
0.33,I - Industrial,013,2
0.21,I - Industrial,031,5
0.14,I - Industrial,104,2
0.12,I - Industrial,101,1
0.14,I - Industrial,104,2
0.13,I - Industrial,101,1
0.14,I - Industrial,101,1
0.33,I - Industrial,316,1
0.31,I - Industrial,111,4
0.12,I - Industrial,104,2
0.29,I - Industrial,111,4
0.81,I - Industrial,332,3
0.32,I - Industrial,111,4
0.14,I - Industrial,104,3
0.09,I - Industrial,340,1
0.17,I - Industrial,105,3
0.08,I - Industrial,104,2
0.09,I - Industrial,104,2
0.19,I - Industrial,340,1
0.11,I - Industrial,013,4
0.21,I - Industrial,332,1
1.83,I - Industrial,343,1
0.18,I - Industrial,332,2
0.39,I - Industrial,332,1
